Density,Viscosity,Oil Saturation,Net Thickness,Permeability,Depth,EOR Process,,,,,,,,,,,
20,175,54,10,60,683,0,,,,,,,,,,,
19,465,42,10,76,1176,0,,,,,,,,,,,
10,231,68,7,76,1194,0,,,,,,,,,,,
25,335,66,8,55,1299,0,,,,,,,,,,,
35,377,50,4,68,1087,0,,,,,,,,,,,
26,85,61,9,88,654,0,,,,,,,,,,,
12,22,50,6,61,1377,0,,,,,,,,,,,
11,228,78,8,77,1092,0,,,,,,,,,,,
34,108,62,6,61,1292,0,,,,,,,,,,,
14,115,47,8,84,518,0,,,,,,,,,,,
26,121,60,4,66,831,0,,,,,,,,,,,
23,93,80,5,56,582,0,,,,,,,,,,,
35,142,70,7,85,513,0,,,,,,,,,,,
33,485,44,8,99,294,0,,,,,,,,,,,
17,155,47,6,62,790,0,,,,,,,,,,,
23,126,47,10,67,1157,0,,,,,,,,,,,
10,250,44,5,93,1338,0,,,,,,,,,,,
20,135,60,3,83,1044,0,,,,,,,,,,,
27,415,80,7,60,1408,0,,,,,,,,,,,
19,82,63,3,81,171,0,,,,,,,,,,,
13,440,44,9,69,953,0,,,,,,,,,,,
13,23,51,4,52,428,0,,,,,,,,,,,
16,319,48,4,92,731,0,,,,,,,,,,,
25,288,72,6,50,1119,0,,,,,,,,,,,
12,99,48,5,65,677,0,,,,,,,,,,,
27,441,46,7,56,361,0,,,,,,,,,,,
20,478,64,4,52,1170,0,,,,,,,,,,,
13,455,69,8,71,1392,0,,,,,,,,,,,
32,422,44,5,63,1382,0,,,,,,,,,,,
11,72,43,4,96,1153,0,,,,,,,,,,,
22,476,58,4,86,1433,0,,,,,,,,,,,
35,312,44,9,77,343,0,,,,,,,,,,,
30,240,68,10,68,162,0,,,,,,,,,,,
22,387,45,4,69,1439,0,,,,,,,,,,,
17,69,78,3,80,269,0,,,,,,,,,,,
23,97,62,8,75,575,0,,,,,,,,,,,
29,247,74,5,57,1004,0,,,,,,,,,,,
31,303,75,10,80,1315,0,,,,,,,,,,,
19,407,73,8,53,896,0,,,,,,,,,,,
26,437,67,7,90,1048,0,,,,,,,,,,,
24,200,53,5,79,903,0,,,,,,,,,,,
27,123,80,3,54,1424,0,,,,,,,,,,,
16,53,48,10,92,453,0,,,,,,,,,,,
15,283,58,8,94,1450,0,,,,,,,,,,,
16,287,59,4,78,832,0,,,,,,,,,,,
31,59,48,6,55,923,0,,,,,,,,,,,
24,107,55,10,58,531,0,,,,,,,,,,,
10,297,74,9,76,1386,0,,,,,,,,,,,
21,339,73,5,79,408,0,,,,,,,,,,,
14,121,61,7,76,364,0,,,,,,,,,,,
26,396,78,9,82,815,0,,,,,,,,,,,
26,331,71,3,83,360,0,,,,,,,,,,,
12,61,61,6,50,753,0,,,,,,,,,,,
21,426,42,6,74,1350,0,,,,,,,,,,,
15,457,80,4,51,625,0,,,,,,,,,,,
16,435,42,5,97,1051,0,,,,,,,,,,,
29,214,52,8,79,1102,0,,,,,,,,,,,
29,122,70,6,52,1420,0,,,,,,,,,,,
30,101,46,7,84,1297,0,,,,,,,,,,,
17,380,62,8,50,204,0,,,,,,,,,,,
23,458,57,9,60,885,0,,,,,,,,,,,
24,61,73,7,67,1277,0,,,,,,,,,,,
30,393,43,10,55,255,0,,,,,,,,,,,
17,119,68,5,69,1071,0,,,,,,,,,,,
13,292,66,8,56,1124,0,,,,,,,,,,,
28,311,80,10,99,246,0,,,,,,,,,,,
24,271,64,7,94,293,0,,,,,,,,,,,
23,75,77,10,59,1295,0,,,,,,,,,,,
34,169,51,5,81,300,0,,,,,,,,,,,
24,408,63,7,78,614,0,,,,,,,,,,,
19,137,63,9,72,1050,0,,,,,,,,,,,
20,75,57,4,76,1402,0,,,,,,,,,,,
10,250,65,5,50,770,0,,,,,,,,,,,
30,178,64,10,91,218,0,,,,,,,,,,,
27,217,72,3,69,851,0,,,,,,,,,,,
35,226,80,6,88,592,0,,,,,,,,,,,
31,339,63,6,93,429,0,,,,,,,,,,,
17,388,60,10,85,773,0,,,,,,,,,,,
16,180,40,4,79,398,0,,,,,,,,,,,
22,292,60,8,69,589,0,,,,,,,,,,,
22,293,61,3,93,827,0,,,,,,,,,,,
30,97,46,8,63,655,0,,,,,,,,,,,
15,445,54,3,85,411,0,,,,,,,,,,,
12,436,51,7,90,1264,0,,,,,,,,,,,
24,22,64,3,85,340,0,,,,,,,,,,,
20,293,64,3,52,1050,0,,,,,,,,,,,
30,249,46,9,69,447,0,,,,,,,,,,,
28,258,43,4,76,1087,0,,,,,,,,,,,
13,356,47,9,76,385,0,,,,,,,,,,,
21,32,76,9,87,528,0,,,,,,,,,,,
32,229,79,4,72,375,0,,,,,,,,,,,
20,372,67,3,99,333,0,,,,,,,,,,,
28,79,63,9,73,1324,0,,,,,,,,,,,
18,36,64,9,61,1171,0,,,,,,,,,,,
19,121,73,8,50,293,0,,,,,,,,,,,
28,442,63,7,66,805,0,,,,,,,,,,,
11,432,63,8,69,1494,0,,,,,,,,,,,
32,102,64,10,70,323,0,,,,,,,,,,,
28,332,69,6,77,326,0,,,,,,,,,,,
34,144,50,6,87,778,0,,,,,,,,,,,
27,464,45,8,73,733,0,,,,,,,,,,,
23,143,66,4,60,563,0,,,,,,,,,,,
27,474,58,5,94,457,0,,,,,,,,,,,
35,96,48,3,91,1003,0,,,,,,,,,,,
30,21,67,4,86,769,0,,,,,,,,,,,
24,428,79,10,71,261,0,,,,,,,,,,,
13,318,61,8,77,1112,0,,,,,,,,,,,
31,204,57,3,76,874,0,,,,,,,,,,,
15,159,43,8,51,692,0,,,,,,,,,,,
19,132,64,9,91,881,0,,,,,,,,,,,
34,249,46,8,78,416,0,,,,,,,,,,,
18,473,61,6,73,306,0,,,,,,,,,,,
27,365,73,4,97,262,0,,,,,,,,,,,
35,420,55,7,95,1291,0,,,,,,,,,,,
24,451,50,10,59,272,0,,,,,,,,,,,
29,110,42,7,89,419,0,,,,,,,,,,,
18,394,79,8,95,1441,0,,,,,,,,,,,
10,314,43,3,70,1479,0,,,,,,,,,,,
15,359,59,8,55,1405,0,,,,,,,,,,,
16,80,71,9,93,394,0,,,,,,,,,,,
28,248,50,10,94,314,0,,,,,,,,,,,
31,438,64,9,65,678,0,,,,,,,,,,,
13,105,55,7,62,294,0,,,,,,,,,,,
14,457,70,6,87,598,0,,,,,,,,,,,
10,367,63,8,92,1049,0,,,,,,,,,,,
31,150,73,5,57,1210,0,,,,,,,,,,,
11,484,50,7,84,875,0,,,,,,,,,,,
22,350,52,7,97,200,0,,,,,,,,,,,
10,201,60,5,85,302,0,,,,,,,,,,,
32,323,79,5,56,1067,0,,,,,,,,,,,
12,98,47,10,88,1164,0,,,,,,,,,,,
11,182,73,9,64,1272,0,,,,,,,,,,,
16,20,42,9,63,347,0,,,,,,,,,,,
11,204,55,3,82,1147,0,,,,,,,,,,,
16,304,77,9,85,961,0,,,,,,,,,,,
34,275,60,3,69,785,0,,,,,,,,,,,
35,239,76,7,87,1020,0,,,,,,,,,,,
10,364,64,6,73,629,0,,,,,,,,,,,
20,219,44,8,97,1436,0,,,,,,,,,,,
35,47,70,3,92,537,0,,,,,,,,,,,
27,307,70,10,91,963,0,,,,,,,,,,,
18,423,73,4,98,1111,0,,,,,,,,,,,
16,461,52,9,93,772,0,,,,,,,,,,,
23,474,73,6,75,265,0,,,,,,,,,,,
17,270,70,5,82,1287,0,,,,,,,,,,,
21,82,72,6,82,453,0,,,,,,,,,,,
17,206,64,4,63,604,0,,,,,,,,,,,
22,67,78,9,68,1095,0,,,,,,,,,,,
32,126,48,3,88,460,0,,,,,,,,,,,
29,309,40,10,80,741,0,,,,,,,,,,,
12,103,41,6,61,1105,0,,,,,,,,,,,
34,146,66,3,88,1116,0,,,,,,,,,,,
19,193,69,10,82,307,0,,,,,,,,,,,
19,360,40,7,54,781,0,,,,,,,,,,,
18,233,62,9,69,456,0,,,,,,,,,,,
14,219,58,6,96,1234,0,,,,,,,,,,,
21,455,53,5,68,1043,0,,,,,,,,,,,
18,384,40,8,79,1021,0,,,,,,,,,,,
34,421,63,9,96,967,0,,,,,,,,,,,
12,71,54,5,85,363,0,,,,,,,,,,,
25,284,66,5,99,664,0,,,,,,,,,,,
15,119,58,4,54,1079,0,,,,,,,,,,,
30,480,66,7,73,275,0,,,,,,,,,,,
21,278,62,6,61,601,0,,,,,,,,,,,
18,289,55,8,61,323,0,,,,,,,,,,,
34,303,68,3,79,1195,0,,,,,,,,,,,
10,444,70,8,52,1373,0,,,,,,,,,,,
12,224,78,4,91,1477,0,,,,,,,,,,,
24,300,63,3,63,944,0,,,,,,,,,,,
32,264,40,6,52,1103,0,,,,,,,,,,,
22,388,43,3,64,341,0,,,,,,,,,,,
31,166,44,4,80,396,0,,,,,,,,,,,
18,341,45,9,77,843,0,,,,,,,,,,,
18,433,47,3,73,1308,0,,,,,,,,,,,
27,402,62,3,77,1103,0,,,,,,,,,,,
21,84,72,6,57,1303,0,,,,,,,,,,,
28,48,63,6,58,336,0,,,,,,,,,,,
12,406,73,4,60,925,0,,,,,,,,,,,
29,282,69,10,80,555,0,,,,,,,,,,,
30,464,56,8,78,1440,0,,,,,,,,,,,
32,43,69,7,99,1270,0,,,,,,,,,,,
34,196,74,6,79,571,0,,,,,,,,,,,
24,67,51,7,100,629,0,,,,,,,,,,,
18,139,50,6,56,1485,0,,,,,,,,,,,
11,73,63,5,84,622,0,,,,,,,,,,,
14,154,56,8,64,419,0,,,,,,,,,,,
18,367,63,3,61,338,0,,,,,,,,,,,
20,425,45,3,95,338,0,,,,,,,,,,,
21,370,40,10,61,1041,0,,,,,,,,,,,
12,418,57,10,92,256,0,,,,,,,,,,,
24,483,50,6,75,423,0,,,,,,,,,,,
19,35,43,8,54,998,0,,,,,,,,,,,
24,383,65,10,65,844,0,,,,,,,,,,,
23,423,64,6,87,1058,0,,,,,,,,,,,
26,371,67,8,75,1258,0,,,,,,,,,,,
24,36,41,10,91,938,0,,,,,,,,,,,
28,480,76,3,63,1416,0,,,,,,,,,,,
24,47,74,6,59,615,0,,,,,,,,,,,
26,358,73,3,87,574,0,,,,,,,,,,,
29,215,45,8,89,954,0,,,,,,,,,,,
19,268,71,5,68,1278,0,,,,,,,,,,,
14,54,74,8,57,940,0,,,,,,,,,,,
11,181,62,3,81,1358,0,,,,,,,,,,,
18,422,48,5,76,676,0,,,,,,,,,,,
24,216,57,9,62,493,0,,,,,,,,,,,
18,41,80,8,64,178,0,,,,,,,,,,,
24,482,53,5,74,1015,0,,,,,,,,,,,
30,138,50,3,88,169,0,,,,,,,,,,,
16,201,75,3,79,444,0,,,,,,,,,,,
33,358,73,7,97,308,0,,,,,,,,,,,
27,387,61,9,80,694,0,,,,,,,,,,,
33,485,79,8,94,1314,0,,,,,,,,,,,
32,124,77,4,56,1451,0,,,,,,,,,,,
27,486,42,6,97,264,0,,,,,,,,,,,
28,181,44,3,56,1480,0,,,,,,,,,,,
32,323,51,9,93,604,0,,,,,,,,,,,
10,395,61,4,68,1368,0,,,,,,,,,,,
25,386,64,4,80,762,0,,,,,,,,,,,
22,378,55,7,68,861,0,,,,,,,,,,,
26,65,54,8,98,988,0,,,,,,,,,,,
20,461,80,4,69,523,0,,,,,,,,,,,
32,316,74,7,67,1376,0,,,,,,,,,,,
10,358,66,9,73,907,0,,,,,,,,,,,
26,140,45,5,91,1254,0,,,,,,,,,,,
12,234,76,8,88,1269,0,,,,,,,,,,,
13,116,55,7,63,809,0,,,,,,,,,,,
25,74,44,5,82,560,0,,,,,,,,,,,
15,33,61,6,100,579,0,,,,,,,,,,,
12,101,63,5,74,1210,0,,,,,,,,,,,
18,355,48,3,79,1233,0,,,,,,,,,,,
10,363,46,5,62,1243,0,,,,,,,,,,,
31,290,47,7,67,1162,0,,,,,,,,,,,
29,136,50,5,95,681,0,,,,,,,,,,,
10,196,73,5,75,604,0,,,,,,,,,,,
12,94,70,9,92,173,0,,,,,,,,,,,
23,240,47,5,59,1156,0,,,,,,,,,,,
17,465,71,9,85,1016,0,,,,,,,,,,,
11,280,54,10,84,423,0,,,,,,,,,,,
34,159,80,8,77,1401,0,,,,,,,,,,,
27,134,73,4,77,576,0,,,,,,,,,,,
16,116,71,4,86,1399,0,,,,,,,,,,,
30,113,60,3,97,355,0,,,,,,,,,,,
13,464,50,5,69,1174,0,,,,,,,,,,,
11,244,76,3,79,1051,0,,,,,,,,,,,
13,320,70,5,75,824,0,,,,,,,,,,,
33,370,68,7,67,642,0,,,,,,,,,,,
27,431,63,4,78,617,0,,,,,,,,,,,
34,112,53,4,53,1468,0,,,,,,,,,,,
17,299,76,3,90,507,0,,,,,,,,,,,
15,431,67,4,91,1403,0,,,,,,,,,,,
30,379,49,7,88,1378,0,,,,,,,,,,,
31,261,66,5,54,399,0,,,,,,,,,,,
27,497,54,9,81,217,0,,,,,,,,,,,
24,149,80,6,58,723,0,,,,,,,,,,,
15,139,58,9,87,660,0,,,,,,,,,,,
11,300,42,5,91,681,0,,,,,,,,,,,
15,333,54,8,72,1468,0,,,,,,,,,,,
27,161,42,10,96,1177,0,,,,,,,,,,,
19,362,63,3,77,965,0,,,,,,,,,,,
34,188,41,8,84,1038,0,,,,,,,,,,,
16,74,40,5,74,373,0,,,,,,,,,,,
23,438,75,8,61,545,0,,,,,,,,,,,
32,300,55,10,97,573,0,,,,,,,,,,,
18,47,67,9,66,1233,0,,,,,,,,,,,
35,419,70,3,59,1212,0,,,,,,,,,,,
29,259,61,3,99,239,0,,,,,,,,,,,
10,474,69,7,80,1353,0,,,,,,,,,,,
26,84,56,3,78,763,0,,,,,,,,,,,
29,221,61,7,94,982,0,,,,,,,,,,,
16,351,64,4,80,457,0,,,,,,,,,,,
34,127,47,9,56,1371,0,,,,,,,,,,,
16,444,70,10,67,1378,0,,,,,,,,,,,
30,240,77,9,59,1148,0,,,,,,,,,,,
13,314,65,5,86,356,0,,,,,,,,,,,
21,454,50,8,54,1027,0,,,,,,,,,,,
25,25,46,8,50,1349,0,,,,,,,,,,,
29,104,72,3,74,1058,0,,,,,,,,,,,
18,342,50,9,92,1409,0,,,,,,,,,,,
14,484,69,5,68,1069,0,,,,,,,,,,,
15,205,63,4,86,331,0,,,,,,,,,,,
21,295,66,7,84,1249,0,,,,,,,,,,,
11,499,67,7,79,1013,0,,,,,,,,,,,
28,255,53,3,81,154,0,,,,,,,,,,,
32,265,70,7,96,1498,0,,,,,,,,,,,
24,372,47,3,56,1244,0,,,,,,,,,,,
23,376,56,5,74,1220,0,,,,,,,,,,,
20,26,58,5,63,313,0,,,,,,,,,,,
13,244,61,8,95,581,0,,,,,,,,,,,
30,196,43,9,94,1386,0,,,,,,,,,,,
12,149,53,3,66,1213,0,,,,,,,,,,,
28,132,51,7,69,176,0,,,,,,,,,,,
11,41,70,5,66,1261,0,,,,,,,,,,,
27,343,65,4,56,661,0,,,,,,,,,,,
28,127,77,8,57,484,0,,,,,,,,,,,
29,105,43,3,58,686,0,,,,,,,,,,,
28,172,58,5,65,331,0,,,,,,,,,,,
17,137,69,8,95,1494,0,,,,,,,,,,,
13,210,59,7,73,273,0,,,,,,,,,,,
14,496,74,6,55,940,0,,,,,,,,,,,
18,182,44,10,84,1484,0,,,,,,,,,,,
35,475,40,6,78,480,0,,,,,,,,,,,
10,394,48,6,51,875,0,,,,,,,,,,,
18,440,49,6,93,1244,0,,,,,,,,,,,
12,71,48,6,69,327,0,,,,,,,,,,,
14,181,71,10,60,255,0,,,,,,,,,,,
24,478,57,6,63,881,0,,,,,,,,,,,
13,468,50,8,94,820,0,,,,,,,,,,,
25,386,66,4,75,1365,0,,,,,,,,,,,
30,276,75,7,84,418,0,,,,,,,,,,,
17,268,67,10,82,1413,0,,,,,,,,,,,
26,266,53,6,92,1213,0,,,,,,,,,,,
31,74,43,10,51,481,0,,,,,,,,,,,
33,344,54,7,73,397,0,,,,,,,,,,,
33,132,56,8,52,551,0,,,,,,,,,,,
12,165,75,8,52,811,0,,,,,,,,,,,
12,232,47,5,50,404,0,,,,,,,,,,,
11,272,46,3,96,586,0,,,,,,,,,,,
32,498,43,4,58,307,0,,,,,,,,,,,
27,358,44,3,65,765,0,,,,,,,,,,,
34,106,77,5,89,406,0,,,,,,,,,,,
23,360,76,4,52,501,0,,,,,,,,,,,
25,189,73,7,86,1347,0,,,,,,,,,,,
22,460,66,3,77,1189,0,,,,,,,,,,,
19,137,45,4,65,421,0,,,,,,,,,,,
32,247,63,9,97,1120,0,,,,,,,,,,,
34,253,68,9,99,862,0,,,,,,,,,,,
34,394,53,6,62,838,0,,,,,,,,,,,
34,106,50,8,68,448,0,,,,,,,,,,,
18,376,54,10,83,1478,0,,,,,,,,,,,
11,386,76,3,50,284,0,,,,,,,,,,,
17,289,52,7,57,1208,0,,,,,,,,,,,
33,315,60,6,54,823,0,,,,,,,,,,,
33,339,68,7,83,807,0,,,,,,,,,,,
18,134,58,8,85,491,0,,,,,,,,,,,
29,226,49,4,74,776,0,,,,,,,,,,,
21,365,61,9,57,1207,0,,,,,,,,,,,
12,310,77,10,67,285,0,,,,,,,,,,,
12,358,73,3,50,1184,0,,,,,,,,,,,
15,287,76,3,68,1197,0,,,,,,,,,,,
22,159,62,5,52,1280,0,,,,,,,,,,,
21,492,68,10,89,756,0,,,,,,,,,,,
27,85,79,6,58,165,0,,,,,,,,,,,
21,329,41,9,73,903,0,,,,,,,,,,,
33,302,52,7,81,474,0,,,,,,,,,,,
14,420,51,10,71,189,0,,,,,,,,,,,
26,98,47,10,73,1180,0,,,,,,,,,,,
35,366,70,7,79,994,0,,,,,,,,,,,
10,342,55,8,67,954,0,,,,,,,,,,,
21,438,41,6,67,1320,0,,,,,,,,,,,
32,457,43,8,61,1028,0,,,,,,,,,,,
34,343,74,6,69,685,0,,,,,,,,,,,
33,197,70,3,87,623,0,,,,,,,,,,,
33,201,44,9,83,217,0,,,,,,,,,,,
25,270,68,6,75,234,0,,,,,,,,,,,
10,445,79,6,58,1072,0,,,,,,,,,,,
33,245,66,8,76,1500,0,,,,,,,,,,,
26,424,41,10,69,1393,0,,,,,,,,,,,
15,398,45,8,88,998,0,,,,,,,,,,,
32,497,46,9,76,1165,0,,,,,,,,,,,
16,566,80,9,79,651,1,,,,,,,,,,,
37,899,68,5,81,887,1,,,,,,,,,,,
37,947,68,5,94,792,1,,,,,,,,,,,
15,720,54,10,69,917,1,,,,,,,,,,,
24,907,58,8,93,632,1,,,,,,,,,,,
28,740,49,10,79,504,1,,,,,,,,,,,
20,955,60,4,50,243,1,,,,,,,,,,,
35,982,69,5,69,983,1,,,,,,,,,,,
16,868,59,9,63,587,1,,,,,,,,,,,
10,741,50,3,63,376,1,,,,,,,,,,,
18,603,50,8,82,681,1,,,,,,,,,,,
22,826,59,4,94,506,1,,,,,,,,,,,
40,860,68,4,50,867,1,,,,,,,,,,,
36,514,63,8,61,953,1,,,,,,,,,,,
26,919,57,3,70,803,1,,,,,,,,,,,
14,737,80,9,61,267,1,,,,,,,,,,,
24,680,61,8,55,253,1,,,,,,,,,,,
19,947,61,5,77,308,1,,,,,,,,,,,
38,589,70,9,56,438,1,,,,,,,,,,,
40,766,56,6,50,358,1,,,,,,,,,,,
25,839,78,6,63,603,1,,,,,,,,,,,
32,858,66,9,65,507,1,,,,,,,,,,,
18,577,50,9,80,913,1,,,,,,,,,,,
12,864,75,4,66,761,1,,,,,,,,,,,
24,721,41,10,69,696,1,,,,,,,,,,,
34,876,45,8,93,476,1,,,,,,,,,,,
17,870,51,5,75,404,1,,,,,,,,,,,
29,834,51,8,96,331,1,,,,,,,,,,,
30,741,44,6,90,548,1,,,,,,,,,,,
36,948,67,5,99,361,1,,,,,,,,,,,
20,847,59,3,55,744,1,,,,,,,,,,,
12,983,45,8,50,269,1,,,,,,,,,,,
33,978,62,6,81,419,1,,,,,,,,,,,
18,743,40,9,89,457,1,,,,,,,,,,,
36,626,68,9,92,446,1,,,,,,,,,,,
28,582,69,7,77,484,1,,,,,,,,,,,
40,804,53,9,83,790,1,,,,,,,,,,,
38,973,62,3,58,560,1,,,,,,,,,,,
39,859,64,7,57,979,1,,,,,,,,,,,
30,536,50,7,57,219,1,,,,,,,,,,,
38,845,53,9,85,483,1,,,,,,,,,,,
38,555,60,3,76,210,1,,,,,,,,,,,
36,824,65,5,83,738,1,,,,,,,,,,,
34,584,48,5,66,585,1,,,,,,,,,,,
40,961,43,5,77,872,1,,,,,,,,,,,
22,606,40,10,63,388,1,,,,,,,,,,,
31,642,41,5,90,151,1,,,,,,,,,,,
25,625,57,8,84,860,1,,,,,,,,,,,
